,Word,Word1,Count1,Word2,Count2,Word3,Count3,Sum,Suggestion
0,pizza,rude,138,snob,111,sick,56,2814,Customers don't like the unpolite service attitude and sick taste on pizza; please improve pizza taste and service attitude.
1,food,rude,127,sick,46,starving,25,2139,Customers don't want to wait too long and have sick food; please make your food service faster and delicious.
2,cheese,stingy,20,boring,15,rude,7,688,Customers don't want to wait too long and have expansive sick and worthless cheese; please make your cheese service faster cheaper delicious and offer big size.
3,sauce,boring,20,stingy,18,sick,6,777,Customers don't want to wait too long and have expansive sick and worthless sauce; please make your sauce service faster cheaper delicious and offer big size.
4,service,rude,192,shitty,19,unprofessional,18,2584,Customers don't like service with bad attitude and unprofessional offer; please improve your business service attitude and learn to be a professional pizza shop.
5,salad,boring,15,sick,9,rude,8,525,Customers don't want to wait too long and have sick salad with bad service attitude; please make your salad service faster delicious and offer with respect.
6,restaurant,rude,36,uncomfortable,10,rudely,9,889,Customers don't like restaurant with rude service; please serve your customers mannerly.
7,crust,boring,9,rude,6,stingy,5,495,Customers don't want to wait too long and have worthless crust; please make your crust service faster and cost-efficient.
8,chicken,sick,6,rude,4,boring,4,378,Customers don't want to wait too long to have sick chicken with bad service attitude; please make your chicken service faster and delicious with respect.
9,beer,snob,15,rude,10,outrageous,4,270,Customers don't want to have beer with bad service attitude; please serve your beer service with respect.
10,menu,rude,16,boring,4,bored,4,640,Customers want you offer a wide selection of menu with respect; please expand your menu on menu suggestion and change your service attitude.
11,delivery,rude,68,lazy,21,unprofessional,8,585,Customers want you deliver their food faster mannerly and get food fresh as in restaurants; please improve your delivery speed and quality.
12,staff,rude,183,unprofessional,21,disorganized,13,602,Customers don't like rude disordered staff with no train; it's time to train your staff.
13,price,outrageous,38,rude,8,shitty,4,533,Customers don't want to pay too much for your service; it's time to low the price.
14,bread,rude,6,starving,4,boring,4,292,Customers don't want to wait too long to have bread with bad service attitude; please make your bread service faster and mannerly.
15,dinner,rude,16,lazy,6,starving,6,330,Customers don't want to wait too long to have dinner here with bad service attitude; please offer your dinner faster and mannerly.
16,meal,rude,11,sick,6,starving,5,393,Customers don't want to wait too long to have sick meal here with bad service attitude; please offer your meal delicious faster and mannerly.
17,pasta,boring,4,sick,3,ignore,2,231,Customers don't want to wait too long to have pasta here with bad service attitude; please offer your pasta delicious faster and mannerly.
18,server,rude,65,rudest,6,sick,5,431,Customers hate rude and unpolite service; it's time to change your service attitude.
19,flavor,boring,6,sick,2,stingy,2,254,Customers complain about slow worthless and sick flavor; please serve faster cheaper and delicious flavor.
20,sandwich,rude,8,sick,3,outrageous,2,209,Customers complain about sick sandwich service with rude attitude; try improve taste and service attitude.
21,lunch,rude,5,starving,4,lazy,4,229,Customers hate rude and slow lunch service here; you can try offer faster lunch service with respect.
22,pie,lazy,3,snob,2,sick,2,212,Customers don't like sick pie with slow and unpolite service; you can try improve pie taste and service speed and attitude.
23,pepperoni,boring,5,stingy,3,rude,2,197,Customers don't like slow and worthless pepperoni with unpolite service; please improve cost-efficient and fast service with respect.
24,location,rude,14,unprofessional,3,rudely,3,378,Customers hate your attitude when you provide location in phone or website; you can do better when introduce yourselves.
25,fry,rude,3,outrageous,1,stingy,1,138,Customers don't like worthless fry with bad service attitude; you can serve cost-efficient fry mannerly.
26,meatball,boring,4,rude,1,starving,1,141,Customers complain the slow and unpolite service of meatball; try offer meatball service faster and mannerly.
27,waitress,rude,72,delay,7,rudely,6,432,Customers think your waitress is rude and slow; try train them to offer faster and mannerly service.
28,wine,outrageous,3,snob,3,uncomfortable,2,150,Customers hate your wine taste and price; try change them to avoid negative reviews.
29,burger,sick,4,snob,2,distracted,1,101,Customers complain about your burger taste and bad service; try fix them to avoid negative reviews.
30,sausage,boring,2,stingy,1,shy,1,120,Customers think your sausage service is slow and bad in attitude; you should offer sausage faster and mannerly.
31,garlic,stingy,2,rude,2,boring,2,140,Customers think your garlic service is rude and slow; you should offer garlic faster and mannerly.
32,meat,stingy,5,sick,2,outrageous,2,199,Customers think your meat is worthless sick; you should offer cost-efficient meat.
33,tomato,boring,8,stingy,3, ,0,134,Customers think your tomato product selection is narrow and worthless; you should offer cost-efficient and various tomato product.
