,Word,Word1,Count1,Word2,Count2,Word3,Count3,Sum,Suggestion
0,pizza,delicious,2808,fresh,1644,free,692,27807,Keep on working towards delicious fresh and economical pizza to win more positive reviews.
1,food,delicious,1398,fresh,621,cheap,211,15948,Keep on working towards delicious fresh and economical food to win more positive reviews.
2,cheese,fresh,613,delicious,530,cheap,86,6056,Keep on working towards delicious fresh and economical cheese to win more positive reviews.
3,sauce,fresh,691,delicious,661,free,55,7104,Keep on working towards delicious fresh and economical sauce to win more positive reviews.
4,service,delicious,367,clean,183,fresh,145,10950,Please make your pizza service delicious tidy and economical to win more positive reviews.
5,salad,fresh,730,delicious,490,free,55,4691,You can do better on making your salad more delicious fresh and economical to win more positive reviews.
6,restaurant,clean,265,delicious,104,fresh,99,4867,It is a good idea to perfect your restaurant and food to be more delicious fresh and clean to win more positive reviews.
7,crust,delicious,594,fresh,560,free,167,6406,You can do better on making your crust more delicious fresh and economical to win more positive reviews.
8,chicken,delicious,348,fresh,190,free,38,3498,You can do better on making your chicken more delicious fresh and economical to win more positive reviews.
9,beer,delicious,156,cheap,96,free,71,4014,You can do better on making your beer more delicious fresh and economical to win more positive reviews.
10,menu,delicious,232,fresh,131,free,89,4069,You can do better on making your food on menu more delicious fresh and economical to win more positive reviews.
11,delivery,delicious,73,free,55,fresh,55,2015,It is a good idea to perfect your delivery food to be more delicious fresh and economical to win more positive reviews.
12,staff,clean,201,delicious,163,fresh,89,5571,It is a good idea to perfect your staff to be cleaner and food they provide to be more delicious fresh to win more positive reviews.
13,price,cheap,125,delicious,114,affordable,98,3385,You can make your price cheaper and service cost-efficient to win more positive reviews.
14,bread,fresh,462,delicious,323,free,90,2960,You can do better on making your bread more delicious fresh and economical to win more positive reviews.
15,dinner,delicious,117,casual,63,fresh,52,2469,It is a good idea to perfect your dinner to be more delicious fresh and relaxed to win more positive reviews.
16,meal,delicious,168,fresh,89,free,59,2842,You can do better on making your meal more delicious fresh and economical to win more positive reviews.
17,pasta,delicious,261,fresh,236,free,52,2286,You can do better on making your pasta more delicious fresh and economical to win more positive reviews.
18,server,delicious,57,efficient,54,free,35,2450,You can do better on making your server on food or others more efficient and hard work to win more positive reviews.
19,flavor,fresh,213,delicious,153,free,17,2566,You can do better on making your flavor more delicious fresh and economical to win more positive reviews.
20,sandwich,delicious,153,fresh,96,cheap,15,1762,You can change your sandwich delicious fresh and economical to win more positive reviews.
21,lunch,delicious,84,fresh,38,casual,33,1979,Keep on working towards delicious fresh and relaxed lunch environment to win more positive reviews.
22,pie,delicious,115,fresh,111,cheap,24,1862,You can change your pie delicious fresh and economical to win more positive reviews.
23,pepperoni,delicious,144,fresh,109,cheap,18,1822,You can change your pepperoni food delicious fresh and economical to win more positive reviews.
24,location,clean,43,delicious,32,fresh,14,1847,It is a good idea to perfect your meal at your location to be more delicious fresh and clean to win more positive reviews.
25,fry,fresh,132,delicious,130,free,11,1367,You can do better on making your fry more delicious fresh and economical to win more positive reviews.
26,meatball,delicious,161,fresh,55,free,11,1299,You can do better on making your meatball more delicious fresh and economical to win more positive reviews.
27,waitress,delicious,34,free,23,clean,22,1516,Our suggestion is to modify your waitress to be cleaner to win more positive reviews.
28,wine,delicious,92,fresh,31,cheap,26,1669,You can change your wine delicious fresh and economical to win more positive reviews.
29,burger,delicious,106,fresh,63,cheap,13,1122,You can change your burger delicious fresh and economical to win more positive reviews.
